
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-09-17 12:53:42 .............................................. ~ 1m 37s
  2025-09-17 12:57:12 /connections ................................. ~ 0.22ms
  2025-09-17 12:57:26 /ai/generate ................................. ~ 0.48ms
  2025-09-17 12:57:51 /ai/generate ................................. ~ 0.34ms
  2025-09-17 14:06:32 /ai/run ...................................... ~ 2.51ms
  2025-09-17 14:07:11 /ai/run ...................................... ~ 0.48ms
  2025-09-17 14:08:13 /ai/run ...................................... ~ 0.42ms
  2025-09-17 14:29:45 /connections ................................. ~ 0.89ms
  2025-09-17 14:29:45 /connections ................................. ~ 0.12ms
  2025-09-17 16:04:39 /collections/stores/docs ..................... ~ 0.92ms
  2025-09-17 16:05:18 /collections ................................. ~ 0.75ms
  2025-09-17 16:05:18 /collections/users/docs ...................... ~ 4.58ms
  2025-09-17 16:05:18 /collections/Stores/docs ..................... ~ 0.21ms
  2025-09-17 16:05:33 /collections/Stores/docs ..................... ~ 0.56ms
  2025-09-17 16:05:33 /collections/Stores/docs ..................... ~ 0.17ms
  2025-09-17 16:05:33 /collections/Stores/docs ..................... ~ 0.13ms
  2025-09-17 16:06:48 /collections/stores/docs ..................... ~ 0.50ms
  2025-09-17 16:07:08 /ai/run ...................................... ~ 0.64ms
  2025-09-17 16:11:07 /connections ................................. ~ 0.32ms
  2025-09-17 16:11:07 /collections ................................. ~ 1.36ms
  2025-09-17 16:11:07 /collections/Stores/docs ..................... ~ 2.11ms
  2025-09-17 16:11:07 /collections ................................. ~ 0.02ms
  2025-09-17 16:11:07 /collections/Stores/docs ..................... ~ 0.02ms
  2025-09-17 16:15:29 /connections ................................. ~ 0.11ms
  2025-09-17 16:15:29 /collections ............................... ~ 506.75ms
  2025-09-17 16:15:29 /collections/Stores/docs ................... ~ 508.42ms
  2025-09-17 16:15:29 /collections ................................. ~ 0.08ms
  2025-09-17 16:15:29 /collections/Stores/docs ..................... ~ 0.11ms
  2025-09-17 16:15:49 /connections ................................. ~ 0.22ms
  2025-09-17 16:15:49 /collections ................................. ~ 3.02ms
  2025-09-17 16:15:49 /collections/Stores/docs ..................... ~ 5.61ms
  2025-09-17 16:15:49 /collections ................................. ~ 0.07ms
  2025-09-17 16:15:49 /collections/Stores/docs ..................... ~ 0.08ms
  2025-09-17 16:16:16 /connections ................................. ~ 1.28ms
  2025-09-17 16:16:16 /collections ................................. ~ 3.32ms
  2025-09-17 16:16:16 /collections/Stores/docs ..................... ~ 5.10ms
  2025-09-17 16:16:16 /collections ................................. ~ 0.08ms
  2025-09-17 16:16:16 /collections/Stores/docs ..................... ~ 0.07ms
  2025-09-17 16:16:25 /connections ................................. ~ 0.11ms
  2025-09-17 16:16:25 /collections ................................. ~ 1.09ms
  2025-09-17 16:16:25 /collections/Stores/docs ..................... ~ 2.04ms
  2025-09-17 16:16:26 /collections ................................. ~ 0.03ms
  2025-09-17 16:16:26 /collections/Stores/docs ..................... ~ 0.03ms
  2025-09-17 16:16:31 /connections ................................. ~ 0.20ms
  2025-09-17 16:16:31 /connections ................................. ~ 0.09ms
  2025-09-17 16:16:33 /collections ................................. ~ 0.37ms
  2025-09-17 16:16:33 /collections/users/docs ...................... ~ 0.11ms
  2025-09-17 16:16:33 /collections/Stores/docs ..................... ~ 0.11ms
  2025-09-17 16:16:40 /ai/generate ................................. ~ 0.46ms
  2025-09-17 16:16:40 /ai/generate ................................. ~ 0.13ms
  2025-09-17 16:17:42 /ai/generate ................................. ~ 0.51ms
  2025-09-17 16:17:42 .............................................. ~ 1m 24s
  2025-09-17 16:22:15 /connections ................................. ~ 1.22ms
  2025-09-17 16:22:15 /connections ................................. ~ 0.17ms
  2025-09-17 16:22:18 /collections ................................. ~ 0.38ms
  2025-09-17 16:22:18 /collections/users/docs ...................... ~ 4.04ms
  2025-09-17 16:22:18 /collections/Stores/docs ..................... ~ 0.15ms
  2025-09-17 16:22:26 /ai/generate ................................. ~ 0.13ms
  2025-09-17 16:22:26 /ai/generate ............................... ~ 505.69ms
  2025-09-17 16:23:41 /connections ................................. ~ 0.36ms
  2025-09-17 16:23:41 /connections ................................. ~ 0.17ms
  2025-09-17 16:23:43 /collections ................................. ~ 0.80ms
  2025-09-17 16:23:43 /collections/users/docs ...................... ~ 4.63ms
  2025-09-17 16:23:43 /collections/Stores/docs ..................... ~ 0.16ms
  2025-09-17 16:23:57 /ai/generate ................................. ~ 1.09ms
  2025-09-17 16:23:57 /ai/generate ................................. ~ 0.18ms
  2025-09-17 16:25:43 /connections ................................. ~ 1.03ms
  2025-09-17 16:25:43 /connections ................................. ~ 0.09ms
  2025-09-17 16:26:02 /collections ................................. ~ 0.48ms
  2025-09-17 16:26:02 /collections/users/docs ...................... ~ 2.33ms
  2025-09-17 16:26:02 /collections/Stores/docs ..................... ~ 0.08ms
  2025-09-17 16:26:03 /ai/generate ................................. ~ 0.28ms
  2025-09-17 16:26:03 /ai/generate ..................................... ~ 7s
  2025-09-17 16:26:10 /ai/run ...................................... ~ 0.09ms
  2025-09-17 16:26:10 /ai/run ...................................... ~ 0.10ms
  2025-09-17 16:41:13 /ai/run ...................................... ~ 1.47ms
  2025-09-17 16:45:41 /collections/authors/docs .................... ~ 0.19ms
  2025-09-17 16:45:42 /collections/Stores/docs ..................... ~ 0.23ms
  2025-09-17 16:45:46 /ai/generate ................................. ~ 0.18ms
  2025-09-17 16:45:46 /ai/generate ..................................... ~ 6s
  2025-09-17 16:45:52 /ai/run .................................... ~ 503.07ms
  2025-09-17 16:45:52 /ai/run ...................................... ~ 0.18ms
  2025-09-17 16:47:15 /connections ................................. ~ 0.85ms
  2025-09-17 16:47:15 /connections ................................. ~ 0.08ms
  2025-09-17 16:47:18 /collections ................................. ~ 0.45ms
  2025-09-17 16:47:18 /collections/users/docs ...................... ~ 2.56ms
  2025-09-17 16:47:18 /collections/Stores/docs ..................... ~ 0.08ms
  2025-09-17 16:47:28 /ai/generate ................................. ~ 0.61ms
  2025-09-17 16:47:28 /ai/generate ..................................... ~ 3s
  2025-09-17 16:47:31 /ai/run ...................................... ~ 0.08ms
  2025-09-17 16:47:31 /ai/run ...................................... ~ 0.09ms
  2025-09-17 16:48:39 /ai/generate ................................. ~ 1.05ms
  2025-09-17 16:48:39 /ai/generate ..................................... ~ 1s
  2025-09-17 16:48:41 /ai/run ...................................... ~ 0.16ms
  2025-09-17 16:48:41 /ai/run ...................................... ~ 0.19ms
  2025-09-17 16:49:29 /collections/authors/docs .................... ~ 1.60ms
  2025-09-17 16:49:30 /collections/Stores/docs ..................... ~ 0.33ms
  2025-09-17 21:53:25 /ai/generate ............................... ~ 505.42ms
  2025-09-17 21:53:25 /ai/generate ..................................... ~ 7s
  2025-09-17 21:53:33 /ai/run ...................................... ~ 0.11ms
  2025-09-17 21:53:33 /ai/run ...................................... ~ 0.11ms
  2025-09-17 23:48:17 ............................................... ~ 1m 7s
  2025-09-18 01:36:31 /connections ................................. ~ 1.39ms
  2025-09-18 01:36:32 /connections ................................. ~ 0.10ms
